"address","graffiti_contractors","created_at","customfld_lat","customfld_lon","group_id","hate_gang","ticket_id","loc_details","loc_name","public_description","url","responsible_party","sqft_abated","graffiti_status_primary","graffiti_status_details","status","square_footage"
"**Address:** SE SALMON ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:23:53Z","45.51437476028","-122.66076320116",8559017236631,"FALSE",43812,"**Location Details:** fire hydrant","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43812.json","Contractor","","Solved","Cleaned by contractor","closed","4"
"**Address:** SW 12TH AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:23:21Z","45.51855680919","-122.6852265037",8559017236631,"FALSE",43811,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43811.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW 12TH AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:22:27Z","45.51855680919","-122.6852265037",8559017236631,"FALSE",43810,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43810.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SW BROADWAY AND SW HARRISON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:20:19Z","45.51134942875","-122.68395363134",8559017236631,"FALSE",43807,"**Location Details:** electrical box","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43807.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SE TAYLOR ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:18:39Z","45.51508785502","-122.66075850782",8559017236631,"FALSE",43802,"**Location Details:** fire hydrant","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43802.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SW BROADWAY AND SW COLUMBIA ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:17:13Z","45.51467739159","-122.68214785569",8559017236631,"FALSE",43801,"**Location Details:** pole","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43801.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SE TAYLOR ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:15:51Z","45.51508785502","-122.66075850782",8559017236631,"FALSE",43797,"**Location Details:** POLE","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43797.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** N/A",NA,"2023-01-25T19:02:12Z","45.47505631572604","-122.50698387622835",8559017236631,"FALSE",43785,"**Location Details:** Sign at north park trail entrance","**Location name:** Clatsop Butte Park",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43785.json","Parks","","Solved","Referred to parks","closed",NA
"**Address:** SW 11TH AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T18:17:22Z","45.51827422373","-122.68420750575",8559017236631,"FALSE",43745,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43745.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** 1005 SW PARK AVE, Portland, OREGON 97205","graffiti_removal_services_grs","2023-01-25T18:16:30Z","45.51774221487","-122.68220051425",8559017236631,"FALSE",43743,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43743.json","Contractor","","Solved","Cleaned by contractor","closed","1"
